race,driver,variable,Cluster,Percentage_of_Lap,Min,Max,Avg
Canadian_Grand_Prix,ALB,gear,1,11.904761904761903,2.0,8.0,5.76
Canadian_Grand_Prix,ALB,gear,2,59.523809523809526,1.0,8.0,5.791546666666666
Canadian_Grand_Prix,ALB,gear,4,28.57142857142857,1.0,8.0,5.77363888888889
Canadian_Grand_Prix,ALO,gear,0,4.838709677419355,2.0,8.0,5.810666666666667
Canadian_Grand_Prix,ALO,gear,1,22.58064516129032,2.0,8.0,5.886877551020408
Canadian_Grand_Prix,ALO,gear,2,64.51612903225806,1.0,8.0,5.877458333333333
Canadian_Grand_Prix,ALO,gear,3,3.225806451612903,1.0,8.0,5.1895
Canadian_Grand_Prix,ALO,gear,4,4.838709677419355,2.0,8.0,5.8533333333333335
Canadian_Grand_Prix,ANT,gear,0,40.32258064516129,1.0,8.0,5.609906666666666
Canadian_Grand_Prix,ANT,gear,1,19.35483870967742,2.0,8.0,5.809404761904762
Canadian_Grand_Prix,ANT,gear,3,1.6129032258064515,1.0,8.0,5.516
Canadian_Grand_Prix,ANT,gear,4,38.70967741935484,1.0,8.0,5.688388888888889
Canadian_Grand_Prix,BEA,gear,0,32.25806451612903,2.0,8.0,5.7468
Canadian_Grand_Prix,BEA,gear,1,11.29032258064516,2.0,8.0,5.85811224489796
Canadian_Grand_Prix,BEA,gear,4,56.451612903225815,1.0,8.0,5.72587619047619
Canadian_Grand_Prix,BOR,gear,0,66.12903225806451,1.0,8.0,5.769943089430894
Canadian_Grand_Prix,BOR,gear,1,11.29032258064516,2.0,8.0,5.9124489795918365
Canadian_Grand_Prix,BOR,gear,2,6.451612903225806,1.0,8.0,5.825
Canadian_Grand_Prix,BOR,gear,4,16.129032258064516,2.0,8.0,5.7802
Canadian_Grand_Prix,COL,gear,0,27.419354838709676,1.0,8.0,5.449078431372548
Canadian_Grand_Prix,COL,gear,1,11.29032258064516,2.0,8.0,5.708816326530612
Canadian_Grand_Prix,COL,gear,2,8.064516129032258,2.0,8.0,5.84872
Canadian_Grand_Prix,COL,gear,4,53.2258064516129,1.0,8.0,5.549020202020202
Canadian_Grand_Prix,GAS,gear,0,73.01587301587301,1.0,8.0,5.689536231884058
Canadian_Grand_Prix,GAS,gear,1,6.349206349206349,2.0,8.0,5.9912857142857145
Canadian_Grand_Prix,GAS,gear,2,1.5873015873015872,2.0,8.0,5.88
Canadian_Grand_Prix,GAS,gear,3,1.5873015873015872,2.0,8.0,5.428
Canadian_Grand_Prix,GAS,gear,4,17.46031746031746,1.0,8.0,5.736272727272727
Canadian_Grand_Prix,HAD,gear,0,55.73770491803278,1.0,8.0,5.691058823529412
Canadian_Grand_Prix,HAD,gear,1,11.475409836065573,2.0,8.0,5.773959183673469
Canadian_Grand_Prix,HAD,gear,2,1.639344262295082,2.0,8.0,5.812
Canadian_Grand_Prix,HAD,gear,4,31.147540983606557,1.0,8.0,5.619578947368421
Canadian_Grand_Prix,HAM,gear,0,3.3333333333333335,2.0,8.0,5.865
Canadian_Grand_Prix,HAM,gear,1,40.0,2.0,8.0,6.009023809523809
Canadian_Grand_Prix,HAM,gear,2,8.333333333333332,1.0,8.0,5.856066666666666
Canadian_Grand_Prix,HAM,gear,4,48.333333333333336,1.0,8.0,5.8229540229885055
Canadian_Grand_Prix,HUL,gear,0,31.746031746031743,2.0,8.0,5.7593
Canadian_Grand_Prix,HUL,gear,1,12.698412698412698,2.0,8.0,5.803107142857143
Canadian_Grand_Prix,HUL,gear,2,9.523809523809524,2.0,8.0,5.885
Canadian_Grand_Prix,HUL,gear,3,1.5873015873015872,1.0,8.0,5.134666666666667
Canadian_Grand_Prix,HUL,gear,4,44.44444444444444,1.0,8.0,5.721678571428572
Canadian_Grand_Prix,LAW,gear,0,25.53191489361702,1.0,8.0,5.5065
Canadian_Grand_Prix,LAW,gear,1,6.382978723404255,2.0,8.0,5.7134285714285715
Canadian_Grand_Prix,LAW,gear,2,2.127659574468085,2.0,8.0,5.554
Canadian_Grand_Prix,LAW,gear,4,65.95744680851064,0.0,8.0,5.514511520737327
Canadian_Grand_Prix,LEC,gear,0,25.806451612903224,1.0,8.0,5.747583333333333
Canadian_Grand_Prix,LEC,gear,1,17.741935483870968,2.0,8.0,5.984805194805195
Canadian_Grand_Prix,LEC,gear,2,4.838709677419355,2.0,8.0,5.892666666666667
Canadian_Grand_Prix,LEC,gear,3,1.6129032258064515,2.0,8.0,5.64
Canadian_Grand_Prix,LEC,gear,4,50.0,1.0,8.0,5.7488817204301075
Canadian_Grand_Prix,NOR,gear,0,65.07936507936508,1.0,8.0,5.601439024390244
Canadian_Grand_Prix,NOR,gear,1,11.11111111111111,2.0,8.0,5.849102040816326
Canadian_Grand_Prix,NOR,gear,2,6.349206349206349,2.0,8.0,5.7905
Canadian_Grand_Prix,NOR,gear,3,3.1746031746031744,1.0,8.0,5.2285
Canadian_Grand_Prix,NOR,gear,4,14.285714285714285,2.0,8.0,5.702
Canadian_Grand_Prix,OCO,gear,0,35.483870967741936,1.0,8.0,5.766454545454545
Canadian_Grand_Prix,OCO,gear,1,12.903225806451612,1.0,8.0,5.877369047619048
Canadian_Grand_Prix,OCO,gear,2,1.6129032258064515,2.0,8.0,5.95
Canadian_Grand_Prix,OCO,gear,4,50.0,1.0,8.0,5.765473118279569
Canadian_Grand_Prix,PIA,gear,0,3.1746031746031744,2.0,8.0,5.791
Canadian_Grand_Prix,PIA,gear,1,20.634920634920633,2.0,8.0,5.9168131868131875
Canadian_Grand_Prix,PIA,gear,2,12.698412698412698,2.0,8.0,5.91
Canadian_Grand_Prix,PIA,gear,3,3.1746031746031744,1.0,8.0,5.329333333333333
Canadian_Grand_Prix,PIA,gear,4,60.317460317460316,1.0,8.0,5.7662894736842105
Canadian_Grand_Prix,RUS,gear,0,1.5873015873015872,2.0,8.0,5.938
Canadian_Grand_Prix,RUS,gear,1,17.46031746031746,2.0,8.0,5.993038961038961
Canadian_Grand_Prix,RUS,gear,2,12.698412698412698,1.0,8.0,5.852333333333333
Canadian_Grand_Prix,RUS,gear,3,3.1746031746031744,1.0,8.0,5.653
Canadian_Grand_Prix,RUS,gear,4,65.07936507936508,1.0,8.0,5.830008130081301
Canadian_Grand_Prix,SAI,gear,0,1.5873015873015872,1.0,8.0,5.440333333333333
Canadian_Grand_Prix,SAI,gear,1,22.22222222222222,1.0,8.0,5.9724931972789115
Canadian_Grand_Prix,SAI,gear,2,7.936507936507936,2.0,8.0,5.9208
Canadian_Grand_Prix,SAI,gear,3,1.5873015873015872,2.0,8.0,5.824
Canadian_Grand_Prix,SAI,gear,4,66.66666666666666,1.0,8.0,5.890857142857143
Canadian_Grand_Prix,STR,gear,1,14.516129032258066,2.0,8.0,5.939619047619048
Canadian_Grand_Prix,STR,gear,2,77.41935483870968,1.0,8.0,5.832363095238096
Canadian_Grand_Prix,STR,gear,3,3.225806451612903,1.0,8.0,5.642642857142857
Canadian_Grand_Prix,STR,gear,4,4.838709677419355,2.0,8.0,5.785333333333333
Canadian_Grand_Prix,TSU,gear,0,79.03225806451613,1.0,8.0,5.614
Canadian_Grand_Prix,TSU,gear,1,9.67741935483871,2.0,8.0,5.8315238095238096
Canadian_Grand_Prix,TSU,gear,2,1.6129032258064515,2.0,8.0,5.836
Canadian_Grand_Prix,TSU,gear,4,9.67741935483871,2.0,8.0,5.672
Canadian_Grand_Prix,VER,gear,0,4.918032786885246,1.0,8.0,5.6466666666666665
Canadian_Grand_Prix,VER,gear,1,18.0327868852459,2.0,8.0,5.927792207792208
Canadian_Grand_Prix,VER,gear,4,77.04918032786885,1.0,8.0,5.731099290780143
