race,driver,variable,Cluster,Percentage_of_Lap,Min,Max,Avg
Canadian_Grand_Prix,ALB,rpm,0,18.181818181818183,5281.152952996699,12114.221837723126,10605.230291049218
Canadian_Grand_Prix,ALB,rpm,1,13.636363636363635,4969.786993536,12073.679999999998,10628.640915459475
Canadian_Grand_Prix,ALB,rpm,2,38.63636363636363,4969.786993536,12158.735382224,10581.200090970182
Canadian_Grand_Prix,ALB,rpm,3,2.272727272727273,4969.786993536,11903.228310527998,10102.731250378421
Canadian_Grand_Prix,ALB,rpm,4,27.27272727272727,4969.786993536,12090.588439235553,10644.08107035599
Canadian_Grand_Prix,ALB,speed,0,18.181818181818183,63.81700117942857,339.62166666666667,228.56039441232826
Canadian_Grand_Prix,ALB,speed,1,13.636363636363635,60.40466666666667,314.9213472607999,224.37535572872466
Canadian_Grand_Prix,ALB,speed,2,38.63636363636363,34.987167488,330.88249957333335,226.98371969596846
Canadian_Grand_Prix,ALB,speed,3,2.272727272727273,25.71786957074676,308.9969849603071,206.59722591126868
Canadian_Grand_Prix,ALB,speed,4,27.27272727272727,0.0,320.0,224.55419358964
Canadian_Grand_Prix,ALB,throttle,0,18.181818181818183,0.0,100.0,72.56868355841343
Canadian_Grand_Prix,ALB,throttle,1,13.636363636363635,0.0,100.0,75.54358031778663
Canadian_Grand_Prix,ALB,throttle,2,38.63636363636363,0.0,100.0,72.35332483478237
Canadian_Grand_Prix,ALB,throttle,3,2.272727272727273,0.0,100.0,69.26805066499139
Canadian_Grand_Prix,ALB,throttle,4,27.27272727272727,0.0,100.0,73.54311115376335
Canadian_Grand_Prix,ALB,brake,0,18.181818181818183,0.0,1.0,0.17257175746244
Canadian_Grand_Prix,ALB,brake,1,13.636363636363635,0.0,1.0,0.15370294354281128
Canadian_Grand_Prix,ALB,brake,2,38.63636363636363,0.0,1.0,0.16592093309182024
Canadian_Grand_Prix,ALB,brake,3,2.272727272727273,0.0,1.0,0.1906011379413129
Canadian_Grand_Prix,ALB,brake,4,27.27272727272727,0.0,1.0,0.1576154426697164
Canadian_Grand_Prix,ALB,gear,0,18.181818181818183,2.0,8.0,5.86325
Canadian_Grand_Prix,ALB,gear,1,13.636363636363635,2.0,8.0,5.745333333333333
Canadian_Grand_Prix,ALB,gear,2,38.63636363636363,1.0,8.0,5.787745098039216
Canadian_Grand_Prix,ALB,gear,3,2.272727272727273,1.0,8.0,5.326
Canadian_Grand_Prix,ALB,gear,4,27.27272727272727,1.0,8.0,5.785472222222222
Canadian_Grand_Prix,ALB,acc_x,0,18.181818181818183,-31.718338560844614,14.319133796547838,0.34337498256426785
Canadian_Grand_Prix,ALB,acc_x,1,13.636363636363635,-34.24590499592475,13.464200974849788,0.5006448996113882
Canadian_Grand_Prix,ALB,acc_x,2,38.63636363636363,-34.7992876560485,14.319133796547838,0.3575232833606176
Canadian_Grand_Prix,ALB,acc_x,3,2.272727272727273,-34.24590499592475,13.464200974849788,-0.25152421905002886
Canadian_Grand_Prix,ALB,acc_x,4,27.27272727272727,-34.24590499592475,14.319133796547838,0.2333573298431995
Canadian_Grand_Prix,ALB,acc_y,0,18.181818181818183,-30.51037603953706,26.620673294933713,-2.1841173443529143
Canadian_Grand_Prix,ALB,acc_y,1,13.636363636363635,-31.021142638493362,29.585350025005468,-2.099703175253898
Canadian_Grand_Prix,ALB,acc_y,2,38.63636363636363,-54.29358159267313,34.02829016240138,-2.8353338528204053
Canadian_Grand_Prix,ALB,acc_y,3,2.272727272727273,-31.021142638493362,25.65819645018456,-2.2449816609223694
Canadian_Grand_Prix,ALB,acc_y,4,27.27272727272727,-33.10563061376448,29.585350025005468,-2.3443110771165787
Canadian_Grand_Prix,ALB,acc_z,0,18.181818181818183,-38.878633304122715,47.81755613999981,-0.6143084556719304
Canadian_Grand_Prix,ALB,acc_z,1,13.636363636363635,-36.475492424566276,41.29024985037991,1.4300489600216515
Canadian_Grand_Prix,ALB,acc_z,2,38.63636363636363,-42.05405204042848,47.81755613999981,0.5706765117174347
Canadian_Grand_Prix,ALB,acc_z,3,2.272727272727273,-42.05405204042848,24.565191587099456,-1.2881428512420612
