race,driver,variable,Cluster,Percentage_of_Lap,Min,Max,Avg
Canadian_Grand_Prix,ALB,speed,0,61.36363636363637,34.987167488,339.62166666666667,226.26433807530913
Canadian_Grand_Prix,ALB,speed,1,6.8181818181818175,58.41926461793811,330.88249957333335,226.65854327072805
Canadian_Grand_Prix,ALB,speed,2,20.454545454545457,0.0,314.05338855822225,224.96391315447772
Canadian_Grand_Prix,ALB,speed,3,2.272727272727273,25.71786957074676,308.9969849603071,206.59722591126868
Canadian_Grand_Prix,ALB,speed,4,9.090909090909092,51.2850519964249,324.9106253759999,228.58021783557203
Canadian_Grand_Prix,ALO,speed,0,63.07692307692307,0.0,332.0,226.11769319901805
Canadian_Grand_Prix,ALO,speed,1,10.76923076923077,59.69783656734323,329.4214282971428,229.35850383415826
Canadian_Grand_Prix,ALO,speed,2,6.153846153846154,60.8130995968,327.0,236.01970562461688
Canadian_Grand_Prix,ALO,speed,3,3.076923076923077,0.0,319.88836946252866,202.54127447016586
Canadian_Grand_Prix,ALO,speed,4,16.923076923076923,53.01169502290253,319.88836946252866,230.28668443426656
Canadian_Grand_Prix,ANT,speed,0,1.694915254237288,62.0,314.8632202576121,224.60539057358847
Canadian_Grand_Prix,ANT,speed,1,72.88135593220339,0.0,331.0,230.31201412772336
Canadian_Grand_Prix,ANT,speed,2,8.47457627118644,0.0,331.0,226.50390424547155
Canadian_Grand_Prix,ANT,speed,3,3.389830508474576,4.474875079662693,312.43707103085717,214.53629645930326
Canadian_Grand_Prix,ANT,speed,4,13.559322033898304,55.0,329.3270832,232.9412821995374
Canadian_Grand_Prix,BEA,speed,0,65.15151515151516,39.989500672,340.2556002304,227.6865545310023
Canadian_Grand_Prix,BEA,speed,1,15.151515151515152,0.0,330.4,229.05379294304777
Canadian_Grand_Prix,BEA,speed,2,7.575757575757576,63.0,340.2556002304,231.32061587832672
Canadian_Grand_Prix,BEA,speed,3,4.545454545454546,13.013562345105978,311.7441497336268,182.45443005970662
Canadian_Grand_Prix,BEA,speed,4,7.575757575757576,53.489060697278966,323.05571430400005,233.31925780918598
Canadian_Grand_Prix,BOR,speed,0,46.875,0.0,341.0713206234815,226.47937442084427
Canadian_Grand_Prix,BOR,speed,1,14.0625,64.8399981568,334.0,228.9013895253135
Canadian_Grand_Prix,BOR,speed,2,31.25,64.8399981568,319.0,227.15518441605573
Canadian_Grand_Prix,BOR,speed,3,1.5625,27.53601579121527,309.0,212.80260388173028
Canadian_Grand_Prix,BOR,speed,4,6.25,60.407731802236526,309.0,231.38363691929376
Canadian_Grand_Prix,COL,speed,0,54.6875,0.0,328.0,225.16767184216548
Canadian_Grand_Prix,COL,speed,1,25.0,59.24284615783605,320.76952635427654,225.16663360098576
Canadian_Grand_Prix,COL,speed,2,12.5,62.711999999999996,323.90281882191954,228.7997125149576
Canadian_Grand_Prix,COL,speed,3,1.5625,13.623290357478291,305.84807694687174,210.94944410957407
Canadian_Grand_Prix,COL,speed,4,6.25,58.22627726736457,320.1,229.07523299745537
Canadian_Grand_Prix,GAS,speed,0,62.5,58.831945443555554,335.0573333048889,227.05105308893621
Canadian_Grand_Prix,GAS,speed,1,18.75,0.0,332.0,226.3366822922083
Canadian_Grand_Prix,GAS,speed,2,6.25,0.0,324.808,223.28111588747637
Canadian_Grand_Prix,GAS,speed,3,1.5625,27.737907430030273,307.0,213.6830778141735
Canadian_Grand_Prix,GAS,speed,4,10.9375,55.15804670137008,326.0,228.61534125861897
Canadian_Grand_Prix,HAD,speed,0,73.84615384615385,40.984001024,334.95624943999997,227.97937465142627
Canadian_Grand_Prix,HAD,speed,1,3.076923076923077,0.0,325.0140769652239,218.44831292523645
Canadian_Grand_Prix,HAD,speed,2,12.307692307692308,65.7243730184046,313.0,225.96114896814407
Canadian_Grand_Prix,HAD,speed,3,3.076923076923077,20.12435928279163,325.077437472,196.7789258554189
Canadian_Grand_Prix,HAD,speed,4,7.6923076923076925,54.88751622424829,330.0,234.68470370372273
Canadian_Grand_Prix,HAM,speed,1,30.508474576271187,38.766668800000005,330.2632499999999,230.38169530942108
Canadian_Grand_Prix,HAM,speed,2,50.847457627118644,0.8393247045582456,330.19528947052504,227.23633016036132
Canadian_Grand_Prix,HAM,speed,3,1.694915254237288,66.43539754802596,310.0,225.61357963457633
Canadian_Grand_Prix,HAM,speed,4,16.94915254237288,54.371725405237385,312.0,238.72228273647409
Canadian_Grand_Prix,HUL,speed,0,47.76119402985074,0.0,337.8662502399999,227.64707069048202
Canadian_Grand_Prix,HUL,speed,1,20.8955223880597,38.96208576,314.0,227.67999146236588
Canadian_Grand_Prix,HUL,speed,2,20.8955223880597,59.917611342848964,331.38068833718097,230.63402003567515
Canadian_Grand_Prix,HUL,speed,3,4.477611940298507,3.022853568883457,307.0,200.36726716661443
Canadian_Grand_Prix,HUL,speed,4,5.970149253731343,55.0,322.78400000000005,228.41185328725123
Canadian_Grand_Prix,LAW,speed,0,55.769230769230774,0.0,332.83666517333336,225.0170545093608
Canadian_Grand_Prix,LAW,speed,1,11.538461538461538,62.04,312.970750208,227.34031320204932
Canadian_Grand_Prix,LAW,speed,2,17.307692307692307,62.04,328.3509089745454,229.44793373332627
Canadian_Grand_Prix,LAW,speed,3,1.9230769230769231,19.415491783587257,316.0,212.94810711620912
Canadian_Grand_Prix,LAW,speed,4,13.461538461538462,56.46594796736348,332.83666517333336,226.50952630934844
Canadian_Grand_Prix,LEC,speed,0,18.461538461538463,55.72962853781052,327.757874688,227.53559776800253
Canadian_Grand_Prix,LEC,speed,1,32.30769230769231,0.0,330.34566638933336,229.91599576968287
Canadian_Grand_Prix,LEC,speed,2,30.76923076923077,62.719500544,317.89746054929134,230.32911150409788
Canadian_Grand_Prix,LEC,speed,3,3.076923076923077,11.44084613459542,314.8750393326879,217.02548644154152
Canadian_Grand_Prix,LEC,speed,4,15.384615384615385,57.03924124209921,323.0,233.16019511718898
Canadian_Grand_Prix,NOR,speed,0,44.61538461538462,0.0,333.9499999817143,229.82899818315363
Canadian_Grand_Prix,NOR,speed,1,21.53846153846154,65.76277044363637,324.0,230.5787560780558
Canadian_Grand_Prix,NOR,speed,2,18.461538461538463,0.0,333.01266639644444,227.56456310407248
Canadian_Grand_Prix,NOR,speed,3,3.076923076923077,10.02332816072637,312.829,215.74146147303185
Canadian_Grand_Prix,NOR,speed,4,12.307692307692308,54.70580392477936,312.829,233.09760832114102
Canadian_Grand_Prix,OCO,speed,0,28.125,38.97875136,333.2049820663467,226.84687976143226
Canadian_Grand_Prix,OCO,speed,1,29.6875,61.94124992,306.629334016,227.47647685570112
Canadian_Grand_Prix,OCO,speed,2,32.8125,0.0,323.83611123200006,227.46884313752352
Canadian_Grand_Prix,OCO,speed,3,1.5625,15.004600868412458,306.9585452541649,214.01121819061842
Canadian_Grand_Prix,OCO,speed,4,7.8125,54.584934414282806,323.83611123200006,230.0144898574111
Canadian_Grand_Prix,PIA,speed,0,21.53846153846154,66.0,334.8820226789917,232.19582233458678
Canadian_Grand_Prix,PIA,speed,1,30.76923076923077,0.0,329.0,228.30403004837814
Canadian_Grand_Prix,PIA,speed,2,24.615384615384617,60.49175381643453,335.674628896,230.3819690677316
Canadian_Grand_Prix,PIA,speed,3,3.076923076923077,0.5974893797517988,307.9788111291151,200.5826777158089
Canadian_Grand_Prix,PIA,speed,4,20.0,50.65678952873258,329.0,232.9613811087771
Canadian_Grand_Prix,RUS,speed,1,53.44827586206896,0.0,326.74,229.25981773284954
Canadian_Grand_Prix,RUS,speed,2,24.137931034482758,0.0,326.58223906733076,230.27961991003082
Canadian_Grand_Prix,RUS,speed,3,3.4482758620689653,24.10397477468441,305.0,220.0199102522689
Canadian_Grand_Prix,RUS,speed,4,18.96551724137931,59.048276744166294,308.0,231.73349527590167
Canadian_Grand_Prix,SAI,speed,0,26.5625,35.993583744,332.4256135330909,225.86147286195995
Canadian_Grand_Prix,SAI,speed,1,32.8125,57.0510992384,327.559249312,227.69761521888174
Canadian_Grand_Prix,SAI,speed,2,31.25,0.0,327.0,227.3218392980759
Canadian_Grand_Prix,SAI,speed,3,1.5625,27.846508478251323,313.94201715824977,212.4501961382307
Canadian_Grand_Prix,SAI,speed,4,7.8125,52.25336575498003,327.0,232.73558617618312
Canadian_Grand_Prix,STR,speed,0,60.0,0.0,335.053083264,226.3779896018977
Canadian_Grand_Prix,STR,speed,1,10.76923076923077,65.25874928,312.0,228.027983025811
Canadian_Grand_Prix,STR,speed,2,10.76923076923077,0.0,326.399712831077,227.7881928206161
Canadian_Grand_Prix,STR,speed,3,4.615384615384616,14.587360779224124,328.0756001792,205.24179739540352
Canadian_Grand_Prix,STR,speed,4,13.846153846153847,55.94978890506173,335.0,234.13228750402087
Canadian_Grand_Prix,TSU,speed,0,51.5625,0.0,338.13199999999995,226.59856754162325
Canadian_Grand_Prix,TSU,speed,1,20.3125,63.790248256397454,310.0,227.39802341300825
Canadian_Grand_Prix,TSU,speed,2,20.3125,63.790248256397454,334.09107136,229.79971173510796
Canadian_Grand_Prix,TSU,speed,3,1.5625,22.113894557125363,310.71633786695224,214.64465270439186
Canadian_Grand_Prix,TSU,speed,4,6.25,60.45180123271132,313.95873669208385,229.41899131333366
Canadian_Grand_Prix,VER,speed,0,5.172413793103448,62.30250048,329.515374752,225.24634280692084
Canadian_Grand_Prix,VER,speed,1,50.0,0.0,333.0,230.57814292957408
Canadian_Grand_Prix,VER,speed,2,24.137931034482758,0.0,334.48,228.04976353822087
Canadian_Grand_Prix,VER,speed,3,3.4482758620689653,18.863470992676724,310.0,223.55395531554026
Canadian_Grand_Prix,VER,speed,4,17.24137931034483,57.299674263781995,333.0,238.5413015818804
