race,driver,variable,Cluster,Percentage_of_Lap,Min,Max,Avg
Emilia_Romagna_Grand_Prix,ALB,gear,1,27.450980392156865,1.0,8.0,5.9395999999999995
Emilia_Romagna_Grand_Prix,ALB,gear,2,52.94117647058824,1.0,8.0,5.919600000000001
Emilia_Romagna_Grand_Prix,ALB,gear,3,17.647058823529413,3.0,8.0,6.265428571428572
Emilia_Romagna_Grand_Prix,ALB,gear,4,1.9607843137254901,3.0,8.0,5.948
Emilia_Romagna_Grand_Prix,ALO,gear,0,10.0,3.0,8.0,6.080333333333334
Emilia_Romagna_Grand_Prix,ALO,gear,1,62.0,1.0,8.0,5.719677419354839
Emilia_Romagna_Grand_Prix,ALO,gear,2,16.0,3.0,8.0,6.050916666666667
Emilia_Romagna_Grand_Prix,ALO,gear,3,12.0,2.0,8.0,6.047142857142857
Emilia_Romagna_Grand_Prix,ANT,gear,0,10.0,3.0,8.0,5.8605
Emilia_Romagna_Grand_Prix,ANT,gear,1,32.5,3.0,8.0,5.912923076923077
Emilia_Romagna_Grand_Prix,ANT,gear,2,10.0,1.0,8.0,5.7619
Emilia_Romagna_Grand_Prix,ANT,gear,3,7.5,3.0,8.0,6.125809523809524
Emilia_Romagna_Grand_Prix,ANT,gear,4,40.0,1.0,8.0,5.7631499999999996
Emilia_Romagna_Grand_Prix,BEA,gear,0,6.0,3.0,8.0,5.9783333333333335
Emilia_Romagna_Grand_Prix,BEA,gear,1,2.0,1.0,7.0,4.6912
Emilia_Romagna_Grand_Prix,BEA,gear,2,20.0,0.0,8.0,4.866
Emilia_Romagna_Grand_Prix,BEA,gear,3,26.0,3.0,8.0,6.18584706959707
Emilia_Romagna_Grand_Prix,BEA,gear,4,46.0,1.0,8.0,5.729217391304348
Emilia_Romagna_Grand_Prix,BOR,gear,0,14.285714285714285,3.0,8.0,6.208333333333334
Emilia_Romagna_Grand_Prix,BOR,gear,1,32.6530612244898,-0.40000000000000013,8.0,5.4973
Emilia_Romagna_Grand_Prix,BOR,gear,2,4.081632653061225,1.0,8.0,5.605600000000001
Emilia_Romagna_Grand_Prix,BOR,gear,3,18.367346938775512,3.0,8.0,6.242190476190475
