race,driver,variable,Cluster,Percentage_of_Lap,Min,Max,Avg
Emilia_Romagna_Grand_Prix,ALB,rpm,0,14.035087719298245,3941.9984390975483,12506.187235754755,10512.608915535866
Emilia_Romagna_Grand_Prix,ALB,rpm,1,10.526315789473683,5952.563101532613,12284.405582412855,10743.358918251222
Emilia_Romagna_Grand_Prix,ALB,rpm,2,8.771929824561402,4299.545126389942,12077.0170914579,10259.28478205825
Emilia_Romagna_Grand_Prix,ALB,rpm,3,28.07017543859649,6228.076028608544,12153.958772063876,10640.574208299724
Emilia_Romagna_Grand_Prix,ALB,rpm,4,38.59649122807017,4591.467961036276,12209.352254255129,10489.484683798762
Emilia_Romagna_Grand_Prix,ALB,speed,0,14.035087719298245,-2.6859854349319825,333.1164140822655,225.26655893114665
Emilia_Romagna_Grand_Prix,ALB,speed,1,10.526315789473683,49.431792127703226,310.52496823165694,237.53149937623053
Emilia_Romagna_Grand_Prix,ALB,speed,2,8.771929824561402,32.49485921287583,309.0146453221244,190.5225306781901
Emilia_Romagna_Grand_Prix,ALB,speed,3,28.07017543859649,39.40040972928448,332.8847163546312,232.00466014521047
Emilia_Romagna_Grand_Prix,ALB,speed,4,38.59649122807017,1.0233156966609203,335.9898924436889,225.94716332582456
Emilia_Romagna_Grand_Prix,ALB,throttle,0,14.035087719298245,0.0,100.0,71.51782755411827
Emilia_Romagna_Grand_Prix,ALB,throttle,1,10.526315789473683,0.0,100.0,75.96552089990088
Emilia_Romagna_Grand_Prix,ALB,throttle,2,8.771929824561402,0.0,100.0,51.94458783797551
Emilia_Romagna_Grand_Prix,ALB,throttle,3,28.07017543859649,0.0,100.0,73.91167538571119
Emilia_Romagna_Grand_Prix,ALB,throttle,4,38.59649122807017,0.0,100.0,75.89986243042866
Emilia_Romagna_Grand_Prix,ALB,brake,0,14.035087719298245,0.0,1.0,0.16334267284997367
Emilia_Romagna_Grand_Prix,ALB,brake,1,10.526315789473683,0.0,1.0,0.1542174029136704
Emilia_Romagna_Grand_Prix,ALB,brake,2,8.771929824561402,0.0,1.0,0.20243450897736004
Emilia_Romagna_Grand_Prix,ALB,brake,3,28.07017543859649,0.0,1.0,0.15397472673113652
Emilia_Romagna_Grand_Prix,ALB,brake,4,38.59649122807017,0.0,1.0,0.15510787489763764
