race,driver,variable,Cluster,Percentage_of_Lap,Min,Max,Avg
Emilia_Romagna_Grand_Prix,ALB,speed,0,8.771929824561402,77.48824019346715,330.0,223.93809145881525
Emilia_Romagna_Grand_Prix,ALB,speed,1,38.59649122807017,-2.6859854349319825,335.9898924436889,216.52133133953296
Emilia_Romagna_Grand_Prix,ALB,speed,2,1.7543859649122806,32.49485921287583,285.886865407815,178.30468622925625
Emilia_Romagna_Grand_Prix,ALB,speed,3,10.526315789473683,49.431792127703226,310.52496823165694,237.53149937623053
Emilia_Romagna_Grand_Prix,ALB,speed,4,40.35087719298245,85.0,327.18218166457416,233.7475151016771
Emilia_Romagna_Grand_Prix,ALO,speed,0,17.857142857142858,39.74104323133554,326.9345531553905,226.08039194109944
Emilia_Romagna_Grand_Prix,ALO,speed,1,26.785714285714285,-5.42533105783756,336.4776447306128,217.2155876259228
Emilia_Romagna_Grand_Prix,ALO,speed,2,3.571428571428571,14.633054527882758,303.2981826825734,212.48243064958575
Emilia_Romagna_Grand_Prix,ALO,speed,3,8.928571428571429,76.70093109295519,330.4843206509866,237.95602678300793
Emilia_Romagna_Grand_Prix,ALO,speed,4,42.857142857142854,-0.6013847270731807,316.9113215868097,229.18907916315848
Emilia_Romagna_Grand_Prix,ANT,speed,0,9.523809523809524,73.45725179411967,331.75716097598587,221.61939058534605
Emilia_Romagna_Grand_Prix,ANT,speed,1,33.33333333333333,-1.591256679955106,336.93519412811554,227.32311630980084
Emilia_Romagna_Grand_Prix,ANT,speed,3,9.523809523809524,87.18539819716938,311.0,236.66473268609582
Emilia_Romagna_Grand_Prix,ANT,speed,4,47.61904761904761,86.76871383085009,356.8721617985299,234.7492361966554
Emilia_Romagna_Grand_Prix,BEA,speed,0,11.864406779661017,52.09995601386115,334.8492827156323,216.74906125344995
Emilia_Romagna_Grand_Prix,BEA,speed,1,55.932203389830505,48.20422206079052,345.9797121940153,224.66266716812424
Emilia_Romagna_Grand_Prix,BEA,speed,2,3.389830508474576,17.200736780968384,291.0,184.21072843856155
Emilia_Romagna_Grand_Prix,BEA,speed,3,11.864406779661017,78.81297147785052,328.2070001402555,237.44502000678455
Emilia_Romagna_Grand_Prix,BEA,speed,4,16.94915254237288,-0.9118599360530832,309.7229587364528,234.02397004820136
Emilia_Romagna_Grand_Prix,BOR,speed,0,11.864406779661017,56.0095739727486,330.82298717691214,225.94441732734973
Emilia_Romagna_Grand_Prix,BOR,speed,1,23.728813559322035,-2.5635213389121336,334.0,200.95741291146106
Emilia_Romagna_Grand_Prix,BOR,speed,2,3.389830508474576,8.072491305436301,288.0,192.4510011147609
Emilia_Romagna_Grand_Prix,BOR,speed,3,22.033898305084744,74.04312211105272,315.25851211842945,237.1551056047134
Emilia_Romagna_Grand_Prix,BOR,speed,4,38.983050847457626,-5.681904721502047,337.5308142357365,235.52406595312303
Emilia_Romagna_Grand_Prix,COL,speed,0,23.214285714285715,32.90980813249843,335.0,231.049797319092
Emilia_Romagna_Grand_Prix,COL,speed,1,44.642857142857146,-6.9857044175395755,346.03470527310316,220.4567096668472
Emilia_Romagna_Grand_Prix,COL,speed,2,3.571428571428571,28.23042051845661,317.239293779887,209.47832563248573
Emilia_Romagna_Grand_Prix,COL,speed,3,12.5,64.00313685246518,361.06123799995584,231.7771179415553
Emilia_Romagna_Grand_Prix,COL,speed,4,16.071428571428573,58.397613338450654,334.13064370929146,233.74220372943984
Emilia_Romagna_Grand_Prix,GAS,speed,0,17.857142857142858,61.39658550849215,331.8845258838029,233.3013702222142
Emilia_Romagna_Grand_Prix,GAS,speed,1,41.07142857142857,4.896819634095627,332.8920723759459,215.6064350961582
Emilia_Romagna_Grand_Prix,GAS,speed,3,16.071428571428573,79.0,330.12107136,239.1313600306618
Emilia_Romagna_Grand_Prix,GAS,speed,4,25.0,-5.157230831155518,324.93343671852654,229.33650061334112
Emilia_Romagna_Grand_Prix,HAD,speed,0,12.280701754385964,44.429147850792795,331.9963364813884,212.35948732134383
Emilia_Romagna_Grand_Prix,HAD,speed,1,36.84210526315789,-2.90164820018027,346.3157081457204,219.84891055513174
Emilia_Romagna_Grand_Prix,HAD,speed,2,1.7543859649122806,15.748559403398511,264.65755838721446,158.52970541532252
Emilia_Romagna_Grand_Prix,HAD,speed,3,8.771929824561402,88.30227623786845,310.84810245965923,240.64318612935716
Emilia_Romagna_Grand_Prix,HAD,speed,4,40.35087719298245,89.0902515506598,355.3801263367384,233.88409134914127
Emilia_Romagna_Grand_Prix,HAM,speed,0,8.771929824561402,48.527106187247746,337.0,220.6891713449163
Emilia_Romagna_Grand_Prix,HAM,speed,1,71.9298245614035,2.6945188939700007,346.8717330833202,226.4083115570039
Emilia_Romagna_Grand_Prix,HAM,speed,2,1.7543859649122806,9.19084101566121,271.08888888888885,160.91892103300287
Emilia_Romagna_Grand_Prix,HAM,speed,3,8.771929824561402,89.26317496103361,333.9418057107998,243.84964276876553
Emilia_Romagna_Grand_Prix,HAM,speed,4,8.771929824561402,95.33688436022749,331.26303307107656,242.60800221106223
Emilia_Romagna_Grand_Prix,HUL,speed,0,12.280701754385964,50.00000000000001,330.0,220.74797630954168
Emilia_Romagna_Grand_Prix,HUL,speed,1,43.859649122807014,-2.8146857789830637,334.04775908343066,219.37187491899752
Emilia_Romagna_Grand_Prix,HUL,speed,3,8.771929824561402,89.41687536767539,337.80182538159363,239.6242999685755
Emilia_Romagna_Grand_Prix,HUL,speed,4,35.08771929824561,42.89399882961294,332.4570537266908,232.05961008130242
Emilia_Romagna_Grand_Prix,LAW,speed,0,21.052631578947366,41.47374280289236,338.0,226.22575538115586
