race,driver,variable,Cluster,Percentage_of_Lap,Min,Max,Avg
Monaco_Grand_Prix,ALB,gear,0,30.555555555555557,1.0,8.0,4.656227272727273
Monaco_Grand_Prix,ALB,gear,1,26.38888888888889,1.0,7.0,4.385789473684211
Monaco_Grand_Prix,ALB,gear,2,25.0,1.0,8.0,4.556481481481482
Monaco_Grand_Prix,ALB,gear,3,2.7777777777777777,1.0,7.0,4.089
Monaco_Grand_Prix,ALB,gear,4,15.277777777777779,1.0,7.0,4.212077922077922
Monaco_Grand_Prix,ALO,gear,0,21.875,1.0,7.0,4.541142857142857
Monaco_Grand_Prix,ALO,gear,1,6.25,1.0,7.0,4.379
Monaco_Grand_Prix,ALO,gear,2,56.25,1.0,7.0,4.501555555555556
Monaco_Grand_Prix,ALO,gear,3,3.125,1.0,7.0,4.226
Monaco_Grand_Prix,ALO,gear,4,12.5,1.0,7.0,4.2995
Monaco_Grand_Prix,ANT,gear,0,4.3478260869565215,1.0,7.0,4.516
Monaco_Grand_Prix,ANT,gear,1,72.46376811594203,1.0,7.0,4.3928
Monaco_Grand_Prix,ANT,gear,2,18.84057971014493,1.0,7.0,4.462153846153846
Monaco_Grand_Prix,ANT,gear,3,2.898550724637681,1.0,7.0,4.168
Monaco_Grand_Prix,ANT,gear,4,1.4492753623188406,1.0,7.0,4.196
Monaco_Grand_Prix,BEA,gear,0,21.12676056338028,0.0,7.0,4.477339682539682
Monaco_Grand_Prix,BEA,gear,1,1.4084507042253522,1.0,7.0,4.334
Monaco_Grand_Prix,BEA,gear,2,74.64788732394366,0.0,7.0,4.518068283917341
Monaco_Grand_Prix,BEA,gear,3,1.4084507042253522,1.8571428571428572,7.0,4.692571428571428
Monaco_Grand_Prix,BEA,gear,4,1.4084507042253522,1.0,7.0,4.434
Monaco_Grand_Prix,BOR,gear,0,7.142857142857142,1.0,7.0,4.5176
Monaco_Grand_Prix,BOR,gear,1,41.42857142857143,1.0,7.0,4.405172413793103
Monaco_Grand_Prix,BOR,gear,2,48.57142857142857,1.0,7.0,4.458529411764706
Monaco_Grand_Prix,BOR,gear,3,2.857142857142857,1.0,7.0,4.211
Monaco_Grand_Prix,COL,gear,0,4.285714285714286,1.0,7.0,4.48
Monaco_Grand_Prix,COL,gear,1,41.42857142857143,1.0,7.0,4.2877241379310345
Monaco_Grand_Prix,COL,gear,2,10.0,1.0,7.0,4.412571428571429
Monaco_Grand_Prix,COL,gear,3,2.857142857142857,1.0,7.0,4.057
Monaco_Grand_Prix,COL,gear,4,41.42857142857143,1.0,7.0,4.3053103448275865
Monaco_Grand_Prix,GAS,gear,1,83.33333333333334,1.0,7.0,3.9728
Monaco_Grand_Prix,GAS,gear,3,16.666666666666664,1.0,6.0,3.052
Monaco_Grand_Prix,HAD,gear,1,14.084507042253522,1.0,7.0,4.2832
Monaco_Grand_Prix,HAD,gear,2,11.267605633802818,1.0,7.0,4.37775
Monaco_Grand_Prix,HAD,gear,3,2.8169014084507045,1.0,7.0,4.016
Monaco_Grand_Prix,HAD,gear,4,71.83098591549296,1.0,7.0,4.298235294117647
Monaco_Grand_Prix,HAM,gear,0,82.6086956521739,1.0,7.0,4.6718947368421055
Monaco_Grand_Prix,HAM,gear,2,14.492753623188406,1.0,7.0,4.6252
Monaco_Grand_Prix,HAM,gear,3,1.4492753623188406,1.0,7.0,4.358
Monaco_Grand_Prix,HAM,gear,4,1.4492753623188406,1.0,7.0,4.462
Monaco_Grand_Prix,HUL,gear,0,2.857142857142857,1.0,7.0,4.527
Monaco_Grand_Prix,HUL,gear,1,15.714285714285714,1.0,7.0,4.393272727272727
Monaco_Grand_Prix,HUL,gear,2,71.42857142857143,1.0,7.0,4.4818
Monaco_Grand_Prix,HUL,gear,3,2.857142857142857,1.0,7.0,4.288
Monaco_Grand_Prix,HUL,gear,4,7.142857142857142,1.0,7.0,4.3864
Monaco_Grand_Prix,LAW,gear,1,5.47945205479452,1.0,7.0,4.257
Monaco_Grand_Prix,LAW,gear,2,1.36986301369863,1.0,7.0,4.38
Monaco_Grand_Prix,LAW,gear,3,2.73972602739726,1.0,7.0,4.035
Monaco_Grand_Prix,LAW,gear,4,90.41095890410958,1.0,7.0,4.291333333333333
Monaco_Grand_Prix,LEC,gear,0,25.37313432835821,1.0,7.0,4.581176470588235
Monaco_Grand_Prix,LEC,gear,1,4.477611940298507,1.0,6.142857142857142,4.066285714285715
Monaco_Grand_Prix,LEC,gear,2,65.67164179104478,1.0,7.0,4.577863636363636
Monaco_Grand_Prix,LEC,gear,3,1.4925373134328357,1.0,7.0,4.342
Monaco_Grand_Prix,LEC,gear,4,2.9850746268656714,1.0,7.0,4.256142857142857
Monaco_Grand_Prix,NOR,gear,0,4.477611940298507,1.0,7.0,4.444
Monaco_Grand_Prix,NOR,gear,1,40.298507462686565,1.0,7.0,4.3539259259259255
Monaco_Grand_Prix,NOR,gear,2,44.776119402985074,1.0,7.0,4.4404
Monaco_Grand_Prix,NOR,gear,3,1.4925373134328357,1.0,7.0,4.128
Monaco_Grand_Prix,NOR,gear,4,8.955223880597014,1.0,7.0,4.365333333333333
Monaco_Grand_Prix,OCO,gear,0,4.285714285714286,1.0,7.0,4.5473333333333334
Monaco_Grand_Prix,OCO,gear,1,5.714285714285714,1.0,7.0,4.424
Monaco_Grand_Prix,OCO,gear,2,87.14285714285714,1.0,7.0,4.541737704918033
Monaco_Grand_Prix,OCO,gear,3,2.857142857142857,1.0,7.0,4.328
