race,driver,variable,Cluster,Percentage_of_Lap,Min,Max,Avg
Monaco_Grand_Prix,ALB,rpm,0,16.666666666666664,3797.196084998018,12443.406506079904,9833.537904994984
Monaco_Grand_Prix,ALB,rpm,1,22.22222222222222,3470.042767604844,12856.747057656641,9982.910065664502
Monaco_Grand_Prix,ALB,rpm,2,4.166666666666666,4689.752320920754,12035.887360227918,9998.28111035506
Monaco_Grand_Prix,ALB,rpm,3,40.27777777777778,4040.81503776355,12617.337698029383,10062.84534430618
Monaco_Grand_Prix,ALB,rpm,4,16.666666666666664,4082.643300817669,12366.721355768781,9998.029338147086
Monaco_Grand_Prix,ALO,rpm,0,6.25,4540.876321924225,12103.533786270287,9854.453615748083
Monaco_Grand_Prix,ALO,rpm,1,43.75,3604.4499770083976,12398.111816537563,9965.451791989035
Monaco_Grand_Prix,ALO,rpm,3,46.875,2417.4316758725854,12294.214413617661,9969.756414784877
Monaco_Grand_Prix,ALO,rpm,4,3.125,4248.611437549482,11896.73815614646,9813.593041560353
Monaco_Grand_Prix,ANT,rpm,0,21.73913043478261,3838.397403673305,12427.575481703643,9950.411043953201
Monaco_Grand_Prix,ANT,rpm,1,23.18840579710145,3952.9796994248018,12453.874264738577,10129.511226990835
Monaco_Grand_Prix,ANT,rpm,2,17.391304347826086,3590.957462305331,12160.5316308373,9863.592598087773
Monaco_Grand_Prix,ANT,rpm,3,26.08695652173913,4022.5137802993613,12291.345534447219,10104.154052581816
Monaco_Grand_Prix,ANT,rpm,4,11.594202898550725,4369.095521557119,12310.606538955348,10042.308703148045
Monaco_Grand_Prix,BEA,rpm,0,28.169014084507044,3907.658885745638,12167.640467277357,9880.183074393539
Monaco_Grand_Prix,BEA,rpm,1,4.225352112676056,3449.9030984460524,12041.75363049369,9875.414112426608
Monaco_Grand_Prix,BEA,rpm,2,45.07042253521127,3363.9687091243027,12171.731650188813,9845.656445836146
Monaco_Grand_Prix,BEA,rpm,3,9.859154929577464,3574.1150769985893,12171.841653721414,10082.637345886571
Monaco_Grand_Prix,BEA,rpm,4,12.676056338028168,4162.671452210782,12113.465764422437,10004.743762210876
Monaco_Grand_Prix,BOR,rpm,0,14.285714285714285,2836.3547701903944,12388.322511215672,9959.676358122239
Monaco_Grand_Prix,BOR,rpm,1,24.285714285714285,3256.5397132601306,12267.711861826429,10093.073890585265
Monaco_Grand_Prix,BOR,rpm,2,30.0,4362.2404893389985,12182.74075719439,9988.455598681836
Monaco_Grand_Prix,BOR,rpm,3,24.285714285714285,2798.094857529961,12324.618590909999,10016.683927480197
Monaco_Grand_Prix,BOR,rpm,4,7.142857142857142,4553.093204119763,12126.42011400799,10024.957808437613
Monaco_Grand_Prix,COL,rpm,0,38.57142857142858,3934.88658886243,12658.824192761458,9967.50583238822
Monaco_Grand_Prix,COL,rpm,1,7.142857142857142,5215.221245872089,12316.930143384803,10343.738912250263
Monaco_Grand_Prix,COL,rpm,2,35.714285714285715,4079.97650023087,12437.55262212206,10029.725431483952
Monaco_Grand_Prix,COL,rpm,3,7.142857142857142,5387.184130991582,12544.404383516863,10537.919871137712
Monaco_Grand_Prix,COL,rpm,4,11.428571428571429,3719.6808435234207,12665.710307357942,10052.465203301288
Monaco_Grand_Prix,GAS,rpm,0,16.666666666666664,4178.2221971832205,11714.326466610339,9031.266463143796
Monaco_Grand_Prix,GAS,rpm,1,50.0,4151.466377558157,11925.169295538974,9903.453900279354
Monaco_Grand_Prix,GAS,rpm,2,16.666666666666664,4105.6081376863185,11957.398835318767,9356.456366645018
Monaco_Grand_Prix,GAS,rpm,3,16.666666666666664,4883.088114270728,11756.269695920419,10072.816290335975
Monaco_Grand_Prix,HAD,rpm,0,53.52112676056338,2746.1446896129023,12602.104123971307,9948.719830380285
Monaco_Grand_Prix,HAD,rpm,1,2.8169014084507045,4728.876276256169,12364.183919737614,10162.355472021334
Monaco_Grand_Prix,HAD,rpm,2,30.985915492957744,3005.090420473604,12412.214094647348,10014.91485600897
Monaco_Grand_Prix,HAD,rpm,3,2.8169014084507045,4763.249619911463,12495.724872795738,10230.648768141133
Monaco_Grand_Prix,HAD,rpm,4,9.859154929577464,4633.746811563356,12348.890872117407,10228.680646991972
Monaco_Grand_Prix,HAM,rpm,0,50.72463768115942,3199.019877379599,12317.772902248224,9865.586238072352
Monaco_Grand_Prix,HAM,rpm,1,4.3478260869565215,4770.946937950532,12077.126288711328,10138.7991921378
Monaco_Grand_Prix,HAM,rpm,2,42.028985507246375,3678.0370891296648,12362.574495789195,9888.580922082223
Monaco_Grand_Prix,HAM,rpm,4,2.898550724637681,5223.243176835147,12087.261881034223,10049.564227130915
Monaco_Grand_Prix,HUL,rpm,0,18.571428571428573,3574.613662166651,12608.994871960138,9899.90843613048
Monaco_Grand_Prix,HUL,rpm,2,62.857142857142854,3613.472297581268,12840.61566599926,9942.34698431138
Monaco_Grand_Prix,HUL,rpm,3,1.4285714285714286,4813.181939347255,12403.741965672481,10251.18942447416
Monaco_Grand_Prix,HUL,rpm,4,17.142857142857142,3722.1158321300495,12448.925614570853,9968.178414451779
Monaco_Grand_Prix,LAW,rpm,0,52.054794520547944,3651.886661506648,12525.119161741619,9997.217210529388
Monaco_Grand_Prix,LAW,rpm,1,5.47945205479452,2444.9745499811975,12587.01424287098,9959.673608787833
Monaco_Grand_Prix,LAW,rpm,2,28.767123287671232,3770.7040896545045,12644.051871349024,10013.909510738718
Monaco_Grand_Prix,LAW,rpm,3,8.21917808219178,4477.123670408279,12558.16385628752,10285.838312008827
Monaco_Grand_Prix,LAW,rpm,4,5.47945205479452,4396.513951209677,12466.433718778808,10134.897482347378
Monaco_Grand_Prix,LEC,rpm,1,32.83582089552239,3636.184083181339,12490.570532007763,10128.188118931721
Monaco_Grand_Prix,LEC,rpm,3,65.67164179104478,3032.447897897188,12352.213886229603,10186.028821182548
Monaco_Grand_Prix,LEC,rpm,4,1.4925373134328357,4015.304079998831,11748.377140528755,9832.916502901999
Monaco_Grand_Prix,NOR,rpm,1,55.223880597014926,3919.6573071330167,12732.321271087758,10273.549383624802
Monaco_Grand_Prix,NOR,rpm,3,38.80597014925373,4245.656325028126,12430.4031472815,10251.019934583377
Monaco_Grand_Prix,NOR,rpm,4,5.970149253731343,4620.147373181529,12454.569982970272,10238.977866726911
Monaco_Grand_Prix,OCO,rpm,0,35.714285714285715,2826.0083486563835,12066.354533046031,9843.478581786178
Monaco_Grand_Prix,OCO,rpm,1,1.4285714285714286,6275.301141770965,11900.114186631152,10275.750009377916
Monaco_Grand_Prix,OCO,rpm,2,51.42857142857142,3326.4577956920484,12212.01848751128,9795.510302227014
Monaco_Grand_Prix,OCO,rpm,3,8.571428571428571,5920.535781991811,12110.222134250867,10315.862139379184
Monaco_Grand_Prix,OCO,rpm,4,2.857142857142857,2886.8873278462524,11978.344367466241,9744.97698857926
Monaco_Grand_Prix,PIA,rpm,0,3.076923076923077,4925.704213258976,11976.891295456659,10132.089806720938
Monaco_Grand_Prix,PIA,rpm,1,29.230769230769234,3994.541589489433,12636.554870494881,10172.374401854338
Monaco_Grand_Prix,PIA,rpm,3,58.46153846153847,3882.6633272640415,12528.763363868356,10269.03870038372
Monaco_Grand_Prix,PIA,rpm,4,9.230769230769232,4460.549837526592,12323.316585302066,10223.222201341163
Monaco_Grand_Prix,RUS,rpm,0,11.11111111111111,3441.8254868949143,12586.242202315123,10040.805054861183
Monaco_Grand_Prix,RUS,rpm,1,6.944444444444445,4514.057395900974,12278.441914336287,10013.097862360266
Monaco_Grand_Prix,RUS,rpm,2,20.833333333333336,3408.272416933698,12570.41958261306,9987.78266006983
Monaco_Grand_Prix,RUS,rpm,3,40.27777777777778,3631.12552323657,12862.349737046623,10261.097226547397
Monaco_Grand_Prix,RUS,rpm,4,20.833333333333336,3524.099927329007,12555.54782459416,10080.753759548463
Monaco_Grand_Prix,SAI,rpm,0,50.0,3440.258609811106,12364.84192157738,9831.192381706844
Monaco_Grand_Prix,SAI,rpm,1,9.722222222222223,3596.9547866639773,12561.520617300408,9956.906376691426
